2017-02-15 20:17:03 startup archives install
2017-02-15 20:17:03 install base-passwd:arm64 <none> 3.5.39
2017-02-15 20:17:03 status half-installed base-passwd:arm64 3.5.39
2017-02-15 20:17:03 status unpacked base-passwd:arm64 3.5.39
2017-02-15 20:17:03 status unpacked base-passwd:arm64 3.5.39
2017-02-15 20:17:03 configure base-passwd:arm64 3.5.39 3.5.39
2017-02-15 20:17:03 status unpacked base-passwd:arm64 3.5.39
2017-02-15 20:17:03 status half-configured base-passwd:arm64 3.5.39
2017-02-15 20:17:03 status installed base-passwd:arm64 3.5.39
2017-02-15 20:17:03 startup archives install
2017-02-15 20:17:03 install base-files:arm64 <none> 9.4ubuntu4
2017-02-15 20:17:03 status half-installed base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 configure base-files:arm64 9.4ubuntu4 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status unpacked base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status half-configured base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 status installed base-files:arm64 9.4ubuntu4
2017-02-15 20:17:03 startup archives install
2017-02-15 20:17:03 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2017-02-15 20:17:03 status half-configured dpkg 1.18.4ubuntu1
2017-02-15 20:17:03 status unpacked dpkg 1.18.4ubuntu1
2017-02-15 20:17:03 status half-installed dpkg 1.18.4ubuntu1
2017-02-15 20:17:04 status half-installed dpkg 1.18.4ubuntu1
2017-02-15 20:17:04 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:04 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:04 configure dpkg:arm64 1.18.4ubuntu1 1.18.4ubuntu1
2017-02-15 20:17:04 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:04 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:04 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:04 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:04 status unpacked dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:04 status half-configured dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:04 status installed dpkg:arm64 1.18.4ubuntu1
2017-02-15 20:17:04 startup archives install
2017-02-15 20:17:04 install libc6:arm64 <none> 2.23-0ubuntu3
2017-02-15 20:17:04 status half-installed libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:04 status unpacked libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:04 status unpacked libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:04 configure libc6:arm64 2.23-0ubuntu3 2.23-0ubuntu3
2017-02-15 20:17:04 status unpacked libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:05 status unpacked libc6:arm64 2.23-0ubuntu3
2017-02-15 20:17:05 status half-configured libc6:arm64 2.23-0ubuntu3
