2017-04-12 03:04:48 startup archives install
2017-04-12 03:04:48 install base-passwd:arm64 <none> 3.5.43
2017-04-12 03:04:48 status half-installed base-passwd:arm64 3.5.43
2017-04-12 03:04:48 status unpacked base-passwd:arm64 3.5.43
2017-04-12 03:04:48 status unpacked base-passwd:arm64 3.5.43
2017-04-12 03:04:48 configure base-passwd:arm64 3.5.43 3.5.43
2017-04-12 03:04:48 status unpacked base-passwd:arm64 3.5.43
2017-04-12 03:04:48 status half-configured base-passwd:arm64 3.5.43
2017-04-12 03:04:48 status installed base-passwd:arm64 3.5.43
2017-04-12 03:04:48 startup archives install
2017-04-12 03:04:48 install base-files:arm64 <none> 9.6ubuntu13
2017-04-12 03:04:48 status half-installed base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 configure base-files:arm64 9.6ubuntu13 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status unpacked base-files:arm64 9.6ubuntu13
2017-04-12 03:04:48 status half-configured base-files:arm64 9.6ubuntu13
2017-04-12 03:04:49 status installed base-files:arm64 9.6ubuntu13
2017-04-12 03:04:49 startup archives install
2017-04-12 03:04:49 upgrade dpkg 1.18.10ubuntu2 1.18.10ubuntu2
2017-04-12 03:04:49 status half-configured dpkg 1.18.10ubuntu2
2017-04-12 03:04:49 status unpacked dpkg 1.18.10ubuntu2
2017-04-12 03:04:49 status half-installed dpkg 1.18.10ubuntu2
2017-04-12 03:04:49 status half-installed dpkg 1.18.10ubuntu2
2017-04-12 03:04:49 status unpacked dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:49 status unpacked dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:49 configure dpkg:arm64 1.18.10ubuntu2 1.18.10ubuntu2
2017-04-12 03:04:49 status unpacked dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:49 status unpacked dpkg:arm64 1.18.10ubuntu2
2017-04-12 03:04:49 status unpacked dpkg:arm64 1.18.10ubuntu2
